Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2014-10-24,105.12,105.49,104.53,105.22,46886326.0,0.0,1.0,105.12,105.49,104.53,105.22,46886326.0
2014-10-23,103.95,105.051,103.63,104.83,70070712.0,0.0,1.0,103.95,105.051,103.63,104.83,70070712.0
2014-10-22,102.84,104.11,102.6,102.99,68140010.0,0.0,1.0,102.84,104.11,102.6,102.99,68140010.0
2014-10-21,103.02,103.02,101.27,102.47,93786680.0,0.0,1.0,103.02,103.02,101.27,102.47,93786680.0
2014-10-20,98.37,99.96,98.22,99.76,69711758.0,0.0,1.0,98.37,99.96,98.22,99.76,69711758.0
2014-10-17,97.5,99.0,96.81,97.67,67577944.0,0.0,1.0,97.5,99.0,96.81,97.67,67577944.0
2014-10-16,95.52,97.72,95.41,96.26,71957003.0,0.0,1.0,95.52,97.72,95.41,96.26,71957003.0
2014-10-15,98.0,99.15,95.18,97.54,99739623.0,0.0,1.0,98.0,99.15,95.18,97.54,99739623.0
2014-10-14,100.34,100.52,98.57,98.75,63355947.0,0.0,1.0,100.34,100.52,98.57,98.75,63355947.0
2014-10-13,101.31,101.78,99.81,99.81,53213871.0,0.0,1.0,101.31,101.78,99.81,99.81,53213871.0
2014-10-10,100.73,102.03,100.3,100.73,65956466.0,0.0,1.0,100.73,102.03,100.3,100.73,65956466.0
2014-10-09,101.5,102.38,100.61,101.02,76894218.0,0.0,1.0,101.5,102.38,100.61,101.02,76894218.0
2014-10-08,98.78,101.11,98.31,100.8,57148868.0,0.0,1.0,98.78,101.11,98.31,100.8,57148868.0
2014-10-07,99.41,100.12,98.73,98.75,41945871.0,0.0,1.0,99.41,100.12,98.73,98.75,41945871.0
2014-10-06,99.94,100.65,99.42,99.62,36711702.0,0.0,1.0,99.94,100.65,99.42,99.62,36711702.0
2014-10-03,99.42,100.21,99.04,99.62,43365924.0,0.0,1.0,99.42,100.21,99.04,99.62,43365924.0
2014-10-02,99.36,100.22,98.04,99.9,47432464.0,0.0,1.0,99.36,100.22,98.04,99.9,47432464.0
2014-10-01,100.58,100.69,98.7,99.18,51302217.0,0.0,1.0,100.58,100.69,98.7,99.18,51302217.0
2014-09-30,100.77,101.54,100.53,100.75,54642536.0,0.0,1.0,100.77,101.54,100.53,100.75,54642536.0
2014-09-29,98.7,100.435,98.63,100.11,49080463.0,0.0,1.0,98.7,100.435,98.63,100.11,49080463.0
2014-09-26,98.55,100.75,98.4,100.75,62114200.0,0.0,1.0,98.55,100.75,98.4,100.75,62114200.0
2014-09-25,100.48,100.71,97.72,97.87,99586323.0,0.0,1.0,100.48,100.71,97.72,97.87,99586323.0
2014-09-24,102.1,102.85,101.2,101.75,59818045.0,0.0,1.0,102.1,102.85,101.2,101.75,59818045.0
2014-09-23,100.65,102.94,100.54,102.64,63084990.0,0.0,1.0,100.65,102.94,100.54,102.64,63084990.0
2014-09-22,101.8,102.14,100.58,101.06,52018872.0,0.0,1.0,101.8,102.14,100.58,101.06,52018872.0
2014-09-19,102.29,102.35,100.88,100.96,70482688.0,0.0,1.0,102.29,102.35,100.88,100.96,70482688.0
